Tags,Weighted_Popularity
"Fantasy, Comedy, Adventure, Slow Burn",169
"Comedy, Adventure, Slow Burn",169
"Comedy, Fantasy, Slow Burn",169
"Adventure, Fantasy, Comedy",169
"Adventure, Romance, Fantasy, Comedy",169
"Romance, Fantasy, Comedy",169
"Adventure, Romance, Comedy",169
"Supernatural, Comedy, Slice of Life, Romance, Slow Burn",162
"Comedy, Slice of Life, Romance, Slow Burn",162
"Comedy, Supernatural, Romance, Slow Burn",162
"Supernatural, Comedy, Slice of Life, Slow Burn",162
"Comedy, Slice of Life, Slow Burn",162
"Supernatural, Slice of Life, Romance, Comedy",162
"Slice of Life, Romance, Comedy",162
"Supernatural, Slice of Life, Comedy",162
"Slice of Life, Supernatural, Fluff",157
"Slice of Life, Mystery, Supernatural, Fluff",157
"Mystery, Supernatural, Fluff",157
"Supernatural, Fluff",157
"Mystery, Supernatural, Slice of Life",157
"Sci-Fi, Comedy, Horror",147
"Comedy, Horror",147
"Slow Burn, Sci-Fi, Series",130
"Supernatural, Slow Burn, Series, Friendship",129
"Slow Burn, Series, Friendship",129
"Supernatural, Series, Friendship",129
"Series, Friendship",129
"Supernatural, Slow Burn, Friendship",129
"Slow Burn, Friendship",129
"Drama, Angst, Family",121
"Angst, Family",121
"Drama, Angst",121
"Action, Horror, Slow Burn, Fluff, Angst",120
"Horror, Slow Burn, Fluff, Angst",120
"Action, Slow Burn, Fluff, Angst",120
"Slow Burn, Fluff, Angst",120
"Action, Horror, Fluff, Angst",120
"Horror, Fluff, Angst",120
"Action, Fluff, Angst",120
"Fluff, Angst",120
"Action, Horror, Slow Burn, Angst",120
"Horror, Slow Burn, Angst",120
"Action, Slow Burn, Angst",120
"Slow Burn, Angst",120
"Action, Slow Burn, Horror, Fluff",120
"Slow Burn, Horror, Fluff",120
"Action, Horror, Fluff",120
"Action, Horror, Slow Burn",120
"Fantasy, Sci-Fi, Comedy, Action",117
"Sci-Fi, Comedy, Action",117
"Fantasy, Comedy, Action",117
"Sci-Fi, Fantasy, Comedy",117
"Drama, Slice of Life, Action, Friendship",115
"Drama, Fantasy, Slice of Life, Action, Friendship",115
"Fantasy, Slice of Life, Action, Friendship",115
"Slice of Life, Action, Friendship",115
"Drama, Action, Friendship",115
"Drama, Fantasy, Action, Friendship",115
"Fantasy, Action, Friendship",115
"Action, Friendship",115
"Drama, Slice of Life, Friendship",115
"Drama, Fantasy, Slice of Life, Friendship",115
"Fantasy, Slice of Life, Friendship",115
"Fantasy, Drama, Slice of Life, Action",115
"Drama, Slice of Life, Action",115
"Fantasy, Slice of Life, Action",115
"Slice of Life, Action",115
"Fantasy, Drama, Action",115
"Slice of Life, Fantasy, Drama",115
"Fantasy, Slice of Life",115
"Drama, Sci-Fi, Series",104
"Drama, Action, Sci-Fi, Series",104
"Action, Sci-Fi, Series",104
"Drama, Action, Series",104
"Sci-Fi, Drama, Action",104
